Food Related,Bill Number,Bill Title,Introducers,Committee Assignment,Current Status,Description,Bill URL,Archived
false,HB1492,RELATING TO AFFORDABLE HOUSING.,PERRUSO,"HSG, FIN",(H) 2/7/2025- The committee(s) on HSG recommend(s) that the measure be deferred.,"Requires the Department of Business, Economic Development, and Tourism, to establish a comprehensive action plan to establish a local housing market in Hawaii.  Appropriates moneys.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1492&year=2025,true
false,HB4,RELATING TO ENERGY.,LOWEN,EEP,"(H) 1/21/2025- Referred to EEP, referral sheet 1",Short form bill relating to energy.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=4&year=2025,true
false,SB4,RELATING TO THE ROYAL MAUSOLEUM.,INOUYE,HWN/WTL_ WAM,S 2/11/2025: The committee on WTL deferred the measure.,Requires the Department of Land and Natural Resources to transfer the stewardship of the Royal Mausoleum_ Mauna Ala_ to the Office of Hawaiian Affairs.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=4&year=2025,true
true,SB1,RELATING TO AGRICULTURAL LANDS.,AWA_ DECORTE_ FEVELLA,AEN/TCA_ JDC/WAM,S 1/16/2025: Referred to AEN/TCA_ JDC/WAM.,Prohibits certain foreign parties from owning_ purchasing_ or acquiring an interest in agricultural lands.  Establishes an Office of Agricultural Intelligence within the Department of Agriculture to investigate claims that land is unlawfully owned by a prohibited foreign party.  Requires the Attorney General to undertake enforcement activities.  Appropriates moneys.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1&year=2025,true
true,HB500,RELATING TO AGRICULTURE.,KAHALOA,"HED, FIN","(H) 1/21/2025- Referred to HED, FIN, referral sheet 2",Appropriates funds to establish a permanent Educational Support Associate position within the University of Hawaii College of Tropical Agriculture and Human Resources' Kona Cooperative Extension.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=500&year=2025,true
true,HB1185 HD2,RELATING TO AGRICULTURE.,"KUSCH, AMATO, EVSLIN, GRANDINETTI, IWAMOTO, KAHALOA, KAPELA, KEOHOKAPU-LEE LOY, KILA, LEE, M., LOWEN, MARTEN, MIYAKE, PERRUSO, POEPOE, SOUZA, TARNAS, TODD","HRE, WAM",(S) 3/11/2025- The committee on HRE deferred the measure.,Establishes a Plant-based Building Materials Working Group to study and report on how best to grow plants and develop plant-based building materials in Hawaii.  Appropriates funds.  Effective 7/1/3000.  (HD2),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1185&year=2025,true
false,SB17,RELATING TO WILDFIRE MITIGATION.,INOUYE,PSM/WTL_ WAM,S 1/16/2025: Referred to PSM/WTL_ WAM.,Establishes the Wildfire Mitigation Working Group.  Requires a report to the Legislature.  Requires the Office of Planning and Sustainable Development to provide administrative support to the working group.  Makes appropriations.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=17&year=2025,true
false,SB24 SD1,RELATING TO LIMITED-PROFIT HOUSING ASSOCIATIONS.,CHANG_ FEVELLA_ SAN BUENAVENTURA,HOU/CPN_ WAM/JDC,S 2/7/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM/JDC.,Establishes an organizational_ tax_ and regulatory framework for limited-profit housing associations.  Establishes the Limited-Profit Housing Council to oversee limited-profit housing associations.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=24&year=2025,true
false,SB26 SD2 HD2,RELATING TO AFFORDABLE HOUSING.,CHANG_ FEVELLA_ HASHIMOTO_ SAN BUENAVENTURA_ Gabbard_ Wakai,HSG_ WAL_ FIN,H 4/25/2025: Received notice of change in Senate conferees (Sen. Com. No. 880).,Establishes the Affordable Housing Land Inventory Task Force to conduct a study_ subject to legislative appropriation_ to assess the viability of housing development in transit-oriented development zones or other areas on state or county lands.  Requires a report to the Legislature.  Appropriates funds.  Effective 7/1/3000.  (HD2),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=26&year=2025,true
false,SB25 SD1,RELATING TO HOUSING.,CHANG_ Fevella,HSG_ JHA,H 3/12/2025: The committee(s) on HSG recommend(s) that the measure be deferred.,Authorizes a county to reduce the number of housing units that may be built within any portion of the county only if the county increases the number of housing units that may be built elsewhere in the county_ such that there is no net loss in residential capacity.  Effective 4/23/2057.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=25&year=2025,true
